"","name","p","z","n","ptoz","pton","ztop","zton","ntop","ntoz"
"111","Mayotte France",3,14,2,1,1,1,1,1,0
"112","New Caledonia France",1,17,1,0,1,1,0,0,1
"113","Reunion France",2,16,1,0,1,1,0,0,1
"114","Saint Barthelemy France",3,14,2,1,2,2,0,1,1
"115","St Martin France",1,16,2,0,1,1,1,0,2
"116","Martinique France",1,17,1,1,0,1,1,0,1
"117"," France",2,16,1,1,1,2,0,0,1
"118"," Gabon",1,18,0,1,0,1,0,0,0
"119"," Gambia",2,15,2,1,1,2,1,0,2
"120"," Georgia",3,13,3,1,2,1,1,2,0
"121"," Germany",3,15,1,1,0,1,1,0,1
"122"," Ghana",2,16,1,0,1,1,0,0,1
"123"," Greece",2,15,2,1,1,2,0,0,1
"124"," Guatemala",2,17,0,1,0,2,0,0,0
"125"," Guinea",2,16,1,1,1,2,0,0,0
"126"," Guyana",1,15,3,1,0,0,3,1,1
"127"," Haiti",2,17,0,1,0,1,0,0,0
"128"," Holy See",1,16,2,1,0,1,2,0,2
"129"," Honduras",3,15,1,1,1,2,0,1,0
"130"," Hungary",1,17,1,1,0,1,1,0,1
"131"," Iceland",1,17,1,1,0,1,1,0,1
"132"," India",4,15,0,2,0,2,0,0,0
"133"," Indonesia",3,16,0,2,0,3,0,0,0
"134"," Iran",1,18,0,1,0,1,0,0,0
"135"," Iraq",1,18,0,0,0,1,0,0,0
"136"," Ireland",1,17,1,0,1,1,0,0,1
"137"," Israel",2,16,1,1,0,1,1,0,1
"138"," Italy",2,17,0,1,0,1,0,0,0
"139"," Jamaica",3,14,2,0,1,1,0,0,1
"140"," Japan",2,15,2,1,0,1,1,0,1
"141"," Jordan",4,15,0,2,0,3,0,0,0
"142"," Kazakhstan",1,17,1,1,0,1,1,0,0
"143"," Kenya",1,18,0,1,0,1,0,0,0
"144"," Korea, South",1,17,1,0,1,1,0,0,1
"145"," Kuwait",2,16,1,1,0,1,1,0,0
"146"," Kyrgyzstan",2,16,1,1,1,2,0,0,0
"147"," Latvia",3,15,1,0,1,1,0,0,1
"148"," Lebanon",3,15,1,2,1,3,0,0,1
"149"," Liberia",3,16,0,1,0,2,0,0,0
"150"," Liechtenstein",1,18,0,1,0,1,0,0,0
"151"," Lithuania",1,16,2,1,0,1,2,0,2
"152"," Luxembourg",1,18,0,1,0,1,0,0,0
"153"," Madagascar",3,16,0,1,0,1,0,0,0
"154"," Malaysia",3,15,1,2,0,2,1,0,1
"155"," Maldives",1,17,1,1,0,1,1,0,0
"156"," Malta",3,13,3,1,2,2,1,1,2
"157"," Mauritania",1,18,0,1,0,1,0,0,0
"158"," Mauritius",2,15,2,1,0,1,1,0,1
"159"," Mexico",6,13,0,1,0,2,0,0,0
"160"," Moldova",4,14,1,1,1,3,0,0,1
"161"," Monaco",1,16,2,1,0,1,1,0,1
"162"," Mongolia",1,17,1,0,1,1,0,0,1
"163"," Montenegro",2,16,1,1,1,2,0,0,1
"164"," Morocco",1,16,2,0,1,1,1,0,2
"165"," Namibia",1,14,4,0,1,1,2,0,2
"166"," Nepal",2,17,0,0,0,1,0,0,0
"167","Aruba Netherlands",1,17,1,0,1,1,0,0,1
"168","Curacao Netherlands",4,11,4,2,2,4,1,0,2
"169","Sint Maarten Netherlands",2,15,2,0,1,1,1,0,2
"170"," Netherlands",2,15,2,1,0,1,1,0,1
"171"," New Zealand",2,16,1,1,0,1,1,0,1
"172"," Nicaragua",2,16,1,0,1,1,0,0,1
"173"," Niger",1,17,1,1,0,1,1,0,1
"174"," Nigeria",6,13,0,2,0,2,0,0,0
"175"," North Macedonia",2,17,0,0,0,1,0,0,0
"176"," Norway",3,14,2,1,0,1,1,0,1
"177"," Oman",1,18,0,1,0,1,0,0,0
"178"," Pakistan",1,18,0,1,0,1,0,0,0
"179"," Panama",2,17,0,1,0,1,0,0,0
"180"," Papua New Guinea",1,17,1,0,1,1,0,0,1
"181"," Paraguay",2,16,1,2,0,2,1,0,1
"182"," Peru",2,16,1,1,1,2,0,0,0
"183"," Philippines",1,18,0,1,0,1,0,0,0
"184"," Poland",4,15,0,1,0,2,0,0,0
"185"," Portugal",2,16,1,1,0,1,1,0,1
"186"," Qatar",4,14,1,2,0,2,1,0,0
"187"," Romania",2,16,1,1,0,1,1,0,1
"188"," Russia",2,17,0,2,0,2,0,0,0
"189"," Rwanda",2,16,1,0,1,2,0,0,1
"190"," Saint Lucia",1,17,1,0,1,1,0,0,1
"191"," Saint Vincent and the Grenadines",2,16,1,1,1,2,0,0,0
"192"," San Marino",2,15,2,1,1,2,1,0,2
"193"," Saudi Arabia",2,17,0,1,0,2,0,0,0
"194"," Senegal",1,18,0,1,0,1,0,0,0
"195"," Serbia",2,14,3,1,0,1,1,0,1
"196"," Seychelles",1,17,1,1,0,1,1,0,1
"197"," Singapore",1,18,0,1,0,1,0,0,0
"198"," Slovakia",1,17,1,0,1,1,0,0,1
"199"," Slovenia",1,17,1,1,0,1,1,0,1
"200"," Somalia",2,16,1,2,0,1,1,1,0
"201"," South Africa",2,17,0,0,0,1,0,0,0
"202"," Spain",2,15,2,1,0,1,2,0,2
"203"," Sri Lanka",2,16,1,1,1,2,0,0,1
"204"," Sudan",2,16,1,1,1,2,0,0,1
"205"," Suriname",1,18,0,1,0,1,0,0,0
"206"," Sweden",2,17,0,2,0,2,0,0,0
"207"," Switzerland",1,18,0,1,0,1,0,0,0
"208"," Taiwan*",2,16,1,1,0,1,1,0,1
"209"," Tanzania",1,17,1,1,0,1,1,0,1
"210"," Thailand",1,17,1,1,0,1,1,0,1
"211"," Togo",1,17,1,1,0,1,1,0,1
"212"," Trinidad and Tobago",1,17,1,0,1,1,0,0,1
"213"," Tunisia",2,17,0,1,0,1,0,0,0
"214"," Turkey",3,15,1,1,0,1,1,0,1
"215"," Uganda",1,17,1,1,0,0,1,1,0
"216"," Ukraine",3,16,0,2,0,2,0,0,0
"217"," United Arab Emirates",5,13,1,3,0,3,1,0,1
"218","Bermuda United Kingdom",2,15,2,0,2,1,0,1,1
"219","Cayman Islands United Kingdom",2,15,2,1,1,2,1,0,2
"220","Channel Islands United Kingdom",2,15,2,0,1,1,0,0,1
"221","Gibraltar United Kingdom",1,17,1,1,0,1,1,0,1
"222","Isle of Man United Kingdom",1,16,2,1,0,1,1,0,1
"223","Montserrat United Kingdom",1,16,2,1,0,1,1,0,1
"224"," United Kingdom",2,15,2,1,0,1,1,0,1
"225"," Uruguay",2,16,1,1,0,1,1,0,1
"226"," US",3,16,0,1,0,1,0,0,0
"227"," Uzbekistan",3,15,1,0,1,2,0,0,1
"228"," Venezuela",2,17,0,2,0,2,0,0,0
"229"," Vietnam",1,15,3,1,0,1,3,0,3
